0,2296
0.453095485,2295.514158
0.682576207,2295.347305
0.912056928,2295.03524
1.14153765,2294.541658
1.371018371,2294.084379
1.600499093,2293.518191
1.829979814,2292.770486
2.059460536,2292.022781
2.288941257,2291.166166
2.518421979,2290.200641
2.7479027,2289.162509
2.977383422,2287.979165
3.206864143,2286.759516
3.436344865,2285.430958
3.665825586,2284.029794
3.895306308,2282.519719
4.124787029,2280.900735
4.354267751,2279.209144
4.583748472,2277.408643
4.813229194,2275.535535
5.042709915,2273.553517
5.272190637,2271.389983
5.501671358,2269.299056
5.73115208,2266.954005
5.960632801,2264.645258
6.190113523,2262.191297
6.419594244,2259.592124
6.649074966,2256.956647
6.878555687,2254.139653
7.108036409,2251.358963
7.33751713,2248.360452
7.566997852,2245.216729
7.796478573,2242.073006
8.025959295,2238.820372
8.255440016,2235.349919
8.484920738,2231.806859
8.714401459,2228.263799
8.943882181,2224.539223
9.173362902,2220.669433
9.402843624,2216.763341
9.632324345,2212.748338
9.861805067,2208.479212
10.09128579,2204.246389
10.32076651,2199.83205
10.55024723,2195.236194
10.77972795,2190.604035
11.00920867,2185.826663
11.2386894,2180.904077
11.41601541,2177.075509
11.76023649,2169.322547
12.05647524,2162.639007
12.21919793,2159.029635
12.75743453,2145.081976
12.94936387,2140.083064
13.17884459,2134.035076
13.40832531,2127.769268
13.63780603,2121.430854
13.86728675,2114.874619
14.09676747,2108.209475
14.32624819,2101.399117
14.55572892,2094.37094
14.78520964,2087.161246
15.01469036,2079.806339
15.24417108,2072.342522
15.4736518,2064.551975
15.70313252,2056.652518
15.83873477,2051.865847
16.3707128,2033.246541
16.60019353,2025.165568
16.82967425,2017.266111
17.05915497,2009.511868
17.28863569,2001.975444
17.51811641,1994.475324
17.74759713,1987.120417
17.97707785,1979.838116
18.20655858,1972.773635
18.4360393,1965.709155
18.66552002,1958.9351
18.89500074,1952.052136
19.12448146,1945.459599
19.35396218,1938.830758
19.58344291,1932.34713
19.81292363,1925.899805
20.04240435,1919.597694
20.2301613,1915.610828
15.9729064,2047.009845
16.26847291,2037.080985
12.57389163,2149.876325
12.38916256,2154.137025
11.57635468,2173.308436
11.89039409,2166.206688